Year,V1,V2,V3,V4
1950,72.35816956,75.99963379,74.62187958,75.23745728
1951,72.33317566,75.8863678,74.44503784,73.00509644
1952,72.55443573,75.93103027,73.46073914,73.89982605
1953,72.37409973,78.3208313,73.6653595,73.56468201
1954,72.04785156,76.62416077,72.21604919,72.40831757
1955,72.05801392,76.30214691,73.17256165,73.17175293
1956,72.24099731,76.45326233,73.39105225,73.12127686
1957,72.27993774,76.61778259,72.78863525,73.10347748
1958,71.48574066,76.20689392,75.12385559,73.31062317
1959,72.37437439,77.41769409,76.00674438,74.80867004
1960,71.3948288,76.13005066,74.42079163,74.08021545
1961,72.04467011,76.58367157,73.74534607,72.95049286
1962,72.31026459,77.20812988,72.89515686,75.56930542
1963,72.42512512,77.11299133,71.07128906,75.10029602
1964,71.81192017,76.43925476,73.19354248,73.53793335
1965,71.2664032,77.18759155,72.47075653,71.2664032
1966,71.70716858,77.50657654,75.34286499,73.65081787
1967,71.39427948,75.89867401,73.8276062,75.52937317
1968,71.18416595,78.05117035,73.51660156,73.54359436
1969,71.88179779,76.12487793,74.0821228,74.11598206
1970,70.13453674,76.37509155,74.96318817,73.08073425
1971,71.32902527,76.12279511,72.93791199,73.18269348
1972,72.21138763,76.76576996,72.93579102,74.21463013
1973,72.07905579,76.52940369,73.6396637,73.5344696
1974,72.16848755,78.02128601,74.58430481,75.11430359
1975,71.95700073,75.22642517,73.73529053,74.41194916
1976,72.01824951,76.71748352,76.91993713,74.9133606
1977,72.70588684,76.81097412,73.78613281,73.60494995
1978,72.38799286,76.72786713,73.59849548,74.81355286
1979,70.95109558,76.51989746,74.57102966,74.27697754
1980,72.52307129,76.77137756,73.91413116,75.7141037
1981,72.46588135,76.69941711,75.60408783,75.71833801
1982,72.29252625,76.63789368,71.61450195,74.35185242
1983,71.34671021,76.75835419,73.48871613,72.90077972
1984,71.43673706,76.47969055,75.79006958,74.45161438
1985,72.4650116,76.93001556,73.66881561,74.36695862
1986,72.14030457,77.20863342,75.71095276,74.31703186
1987,72.28872681,78.53105164,75.52952576,74.30038452
1988,72.68423462,77.01527405,76.78797913,74.48028564
1989,72.29653168,77.38386536,74.53301239,73.90158081
1990,73.44295502,77.00785828,76.37177277,74.78752136
1991,72.7930603,76.54867554,75.78404236,75.6408844
1992,72.56410217,76.44755554,76.12852478,73.32265472
1993,71.07699585,76.98939514,74.38920593,76.17530823
1994,72.67478943,76.05165863,74.90731812,73.69415283
1995,71.35951233,77.04388428,75.30311584,75.53436279
1996,72.10514832,77.51625061,76.76270294,75.75706482
1997,72.9167099,76.54956055,77.21289063,74.4054718
1998,73.63571167,78.57197571,72.82173157,76.98461914
1999,73.09584045,78.37696838,74.36494446,76.49610901
2000,72.54103088,77.45005798,74.7297821,75.51277924
2001,72.5868988,77.61599731,76.25543976,76.09022522
2002,73.33309174,77.07272339,75.98712158,76.713974
2003,73.34725952,77.7480011,75.59086609,75.17357636
2004,72.36695862,77.49064636,75.38191223,75.39225769
2005,72.66105652,77.21444702,75.03686523,76.56192017
2006,72.92028046,77.99227905,74.36958313,74.60695648
2007,72.8500824,78.49754334,,76.10702515
2008,72.13124084,78.97286987,,76.58763123
2009,73.47349548,79.2684021,,76.36087036
2010,72.69215393,78.09104919,,77.43258667
2011,74.16436768,78.95298767,,76.89501953
2012,74.54977417,78.77638245,,76.7555542
2013,72.88787079,77.99415588,,77.71620178
2014,73.71926117,78.10676575,,74.01232147
2015,74.30587769,79.94411469,,75.751297
2016,73.95129395,78.46096039,,76.19063568
2017,73.46959686,78.11473084,,76.21134949
2018,74.21205139,78.85855103,,78.49523926
2019,74.94033813,79.80007935,,76.84008789
2020,73.7755127,80.12571716,,77.9155426
2021,74.01765442,78.54396057,,78.29792786
2022,73.91108704,79.23577118,,76.24172211
2023,73.61390686,81.95994568,,77.38287354
2024,73.27090454,78.71760559,,78.2552948
2025,73.80281067,79.01428223,,77.5039978
2026,73.5255127,80.46810913,,79.16518402
2027,74.33702087,79.21528625,,76.60894012
2028,74.14965057,79.05779266,,77.59919739
2029,73.96370697,79.1027832,,77.52415466
2030,73.67158508,78.87953949,,78.25151062
2031,74.95027924,78.88206482,,78.62971497
2032,75.41049194,80.03820801,,78.48590088
2033,74.23577881,79.20171356,,77.80134583
2034,73.52420044,79.98256683,,78.64937592
2035,74.33422089,79.42654419,,76.92550659
2036,74.45358276,79.82661438,,79.82661438
2037,75.56254578,81.38728333,,78.84938049
2038,75.28569031,80.49375916,,78.48458099
2039,74.97219849,79.34074402,,78.8012619
2040,74.62283325,79.26329041,,77.71438599
2041,73.29903412,80.2321167,,78.35235596
2042,75.16714478,80.07798767,,77.88060761
2043,75.90789795,79.98124695,,78.98121643
2044,74.58706665,80.63284302,,77.57919312
2045,75.62478638,80.09172058,,80.09172058
2046,75.05206299,80.65559387,,78.18470764
2047,73.98364258,81.1219635,,78.13945007
2048,75.83627319,80.4765625,,79.20704651
2049,75.32754517,80.51732636,,77.93531799
2050,74.37969971,80.66816711,,78.53759003
2051,76.11872864,80.96490479,,78.49891663
2052,75.79359436,82.25376892,,77.6493454
2053,75.02366638,80.5557251,,80.29573059
2054,75.23718262,81.33926392,,80.18312073
2055,75.33644867,81.80607605,,80.47624207
2056,74.73890686,80.81593323,,79.65913391
2057,76.07527924,82.43537903,,77.95739746
2058,76.46606445,84.61110687,,80.29936218
2059,76.52285767,81.88056946,,79.50685883
2060,74.23924255,82.01805878,,78.81417084
2061,75.48629761,84.01333618,,80.38334656
2062,76.32423401,83.04967499,,79.89736938
2063,73.37335205,83.1605835,,79.94615173
