"","County","State","median_income"
"1","Baldwin County","Alabama",25321
"2","Calhoun County","Alabama",22325
"3","Cullman County","Alabama",11571
"4","DeKalb County","Alabama",15075
"5","Elmore County","Alabama",9684
"6","Etowah County","Alabama",17216
"7","Houston County","Alabama",20778
"8","Jefferson County","Alabama",109044
"9","Lauderdale County","Alabama",15696
"10","Lee County","Alabama",33272
"11","Limestone County","Alabama",9458
"12","Madison County","Alabama",37402
"13","Marshall County","Alabama",14975
"14","Mobile County","Alabama",71728
"15","Montgomery County","Alabama",47790
"16","Morgan County","Alabama",15763
"17","St. Clair County","Alabama",13692
"18","Shelby County","Alabama",17362
"19","Talladega County","Alabama",14861
"20","Tuscaloosa County","Alabama",29722
"21","Anchorage Municipality","Alaska",25695
"22","Fairbanks North Star Borough","Alaska",5856
"23","Matanuska-Susitna Borough","Alaska",11842
"24","Apache County","Arizona",18263
"25","Cochise County","Arizona",20169
"26","Coconino County","Arizona",22546
"27","Maricopa County","Arizona",496359
"28","Mohave County","Arizona",39180
"29","Navajo County","Arizona",27006
"30","Pima County","Arizona",149443
"31","Pinal County","Arizona",42819
"32","Yavapai County","Arizona",29666
"33","Yuma County","Arizona",33824
"34","Benton County","Arkansas",21456
"35","Craighead County","Arkansas",22303
"36","Faulkner County","Arkansas",17697
"37","Garland County","Arkansas",13270
"38","Jefferson County","Arkansas",9555
"39","Lonoke County","Arkansas",8670
"40","Pulaski County","Arkansas",70411
"41","Saline County","Arkansas",10164
"42","Sebastian County","Arkansas",26941
"43","Washington County","Arkansas",29816
"44","White County","Arkansas",12876
"45","Alameda County","California",151379
"46","Butte County","California",33529
"47","Contra Costa County","California",101318
"48","El Dorado County","California",17875
"49","Fresno County","California",194559
"50","Humboldt County","California",26563
"51","Imperial County","California",27821
"52","Kern County","California",165182
"53","Kings County","California",23924
"54","Lake County","California",8681
"55","Los Angeles County","California",1369006
"56","Madera County","California",33099
"57","Marin County","California",19243
"58","Mendocino County","California",14295
"59","Merced County","California",65716
"60","Monterey County","California",48547
"61","Napa County","California",11999
"62","Nevada County","California",13926
"63","Orange County","California",308462
"64","Placer County","California",27171
"65","Riverside County","California",280367
"66","Sacramento County","California",203156
"67","San Benito County","California",5265
"68","San Bernardino County","California",282874
"69","San Diego County","California",339554
"70","San Francisco County","California",90833
"71","San Joaquin County","California",92331
"72","San Luis Obispo County","California",36821
"73","San Mateo County","California",49089
"74","Santa Barbara County","California",67029
"75","Santa Clara County","California",127161
"76","Santa Cruz County","California",24752
"77","Shasta County","California",24204
"78","Solano County","California",43750
"79","Sonoma County","California",43282
"80","Stanislaus County","California",75765
"81","Sutter County","California",17220
"82","Tehama County","California",9663
"83","Tulare County","California",87587
"84","Ventura County","California",72280
"85","Yolo County","California",31684
"86","Yuba County","California",12420
"87","Adams County","Colorado",51506
"88","Arapahoe County","Colorado",57235
"89","Boulder County","Colorado",35257
"90","Broomfield County","Colorado",3823
"91","Denver County","Colorado",80787
"92","Douglas County","Colorado",9422
"93","El Paso County","Colorado",68500
"94","Jefferson County","Colorado",40915
"95","Larimer County","Colorado",41749
"96","Mesa County","Colorado",14902
"97","Pueblo County","Colorado",27001
"98","Weld County","Colorado",33236
"99","Fairfield County","Connecticut",83807
"100","Hartford County","Connecticut",90230
"101","Litchfield County","Connecticut",16945
"102","Middlesex County","Connecticut",9060
"103","New Haven County","Connecticut",98747
"104","New London County","Connecticut",22236
"105","Tolland County","Connecticut",19352
"106","Windham County","Connecticut",13789
"107","Kent County","Delaware",22146
"108","New Castle County","Delaware",62599
"109","Sussex County","Delaware",28705
"110","District of Columbia","District of Columbia",105007
"111","Alachua County","Florida",51142
"112","Bay County","Florida",24005
"113","Brevard County","Florida",67665
"114","Broward County","Florida",241133
"115","Charlotte County","Florida",20613
"116","Citrus County","Florida",25014
"117","Clay County","Florida",15650
"118","Collier County","Florida",40874
"119","Columbia County","Florida",9345
